service_id,date,exception_type
JKPD3-JK_D3-Weekday-04-SDon,20231226,2
JKPD3-JK_D3-Weekday-04-SDon,20231227,2
JKPD3-JK_D3-Weekday-04-SDon,20231228,2
JKPD3-JK_D3-Weekday-04-SDon,20231229,2
JKPD3-JK_D3-Weekday-04,20230905,1
JKPD3-JK_D3-Weekday-04,20230906,1
JKPD3-JK_D3-Weekday-04,20230925,1
JKPD3-JK_D3-Weekday-04,20231009,1
JKPD3-JK_D3-Weekday-04,20231107,1
JKPD3-JK_D3-Weekday-04,20231226,1
JKPD3-JK_D3-Weekday-04,20231227,1
JKPD3-JK_D3-Weekday-04,20231228,1
JKPD3-JK_D3-Weekday-04,20231229,1
LGPD3-LG_D3-Sunday-04,20230904,1
LGPD3-LG_D3-Sunday-04,20231123,1
LGPD3-LG_D3-Sunday-04,20231225,1
LGPD3-LG_D3-Sunday-04,20240101,1
LGPD3-LG_D3-Weekday-04,20231123,2
LGPD3-LG_D3-Weekday-04,20231124,2
LGPD3-LG_D3-Weekday-04,20231225,2
LGPD3-LG_D3-Weekday-04,20240101,2
SCPD3-SC_D3-Sunday-04,20230904,1
SCPD3-SC_D3-Sunday-04,20231123,1
SCPD3-SC_D3-Sunday-04,20231225,1
SCPD3-SC_D3-Sunday-04,20240101,1
SCPD3-SC_D3-Weekday-04-SDon,20231123,2
SCPD3-SC_D3-Weekday-04-SDon,20231124,2
SCPD3-SC_D3-Weekday-04-SDon,20231225,2
SCPD3-SC_D3-Weekday-04-SDon,20240101,2
SCPD3-SC_D3-Weekday-04-SDon,20230905,2
SCPD3-SC_D3-Weekday-04-SDon,20230906,2
SCPD3-SC_D3-Weekday-04-SDon,20230925,2
SCPD3-SC_D3-Weekday-04-SDon,20231009,2
SCPD3-SC_D3-Weekday-04-SDon,20231107,2
SCPD3-SC_D3-Weekday-04-SDon,20231226,2
SCPD3-SC_D3-Weekday-04-SDon,20231227,2
SCPD3-SC_D3-Weekday-04-SDon,20231228,2
SCPD3-SC_D3-Weekday-04-SDon,20231229,2
SCPD3-SC_D3-Weekday-04,20230905,1
SCPD3-SC_D3-Weekday-04,20230906,1
SCPD3-SC_D3-Weekday-04,20230925,1
SCPD3-SC_D3-Weekday-04,20231009,1
SCPD3-SC_D3-Weekday-04,20231107,1
SCPD3-SC_D3-Weekday-04,20231226,1
SCPD3-SC_D3-Weekday-04,20231227,1
SCPD3-SC_D3-Weekday-04,20231228,1
SCPD3-SC_D3-Weekday-04,20231229,1
YOPD3-YO_D3-Sunday-04,20230904,1
YOPD3-YO_D3-Sunday-04,20231123,1
YOPD3-YO_D3-Sunday-04,20231225,1
YOPD3-YO_D3-Sunday-04,20240101,1
YOPD3-YO_D3-Weekday-04,20231123,2
YOPD3-YO_D3-Weekday-04,20231124,2
YOPD3-YO_D3-Weekday-04,20231225,2
YOPD3-YO_D3-Weekday-04,20240101,2
